reaction;f0
5FTHFabc;0.00046515322499930065
ACt;0.0
ADNabc;0.2758097896890664
ATPase;0.0
CA2abc;0.001239271573074098
CO2t;-0.007086935248334925
COAabc;0.0027962110022460352
DADNabc;0.0007874790691043348
DCYTabc;0.0008238945170012045
DGSNabc;0.0007663408155345404
FAt;0.000746906051723117
FORt;0.0
GLCpts;2.0732924929269525
GLYCt;0.0002802382684668977
GSNabc;0.33796139765163435
H2Ot;-0.2644007957480472
Ht;0.0
Kt6;0.0013201423040709347
LIPTA;0.0002683838995011495
L_LACt2r;0.0
MG2abc;0.0019860726451344218
NACabc;0.0010482186435395266
NAt;0.000140530903013935
NH3t;9.710541252034026e-05
O2t;0.17537295993194804
P5Pabc;0.000276646713437841
PIabc;0.9888409345837088
PYRt2r;0.46460806280389416
RIBFLVabc;0.00048723268621178156
SPRMabc;0.0003119789046569923
THMDabc;0.0008004234638767651
THMPPabc;0.00019693480196135362
URAt2;0.08208463200079164
AA_t2r;0.025146092192422656
5FTHFPGS;0.0004356804916400728
ACKr;0.09123848174777718
ACPPAT;0.010384505392119115
ACPS;0.020426157824219814
ADK1;1.7033218469614138
ADPT;0.1814546043799951
AGPAT;0.010617371982745155
APG3PAT;0.0006209890087517511
BPNT;0.0007684166854669549
CLPNS;0.00020264977843950145
CTPS2;0.40088643485640346
CYTK1;0.00018230432580747705
CYTK2;0.00034066995837260213
DADK;0.00033166546925016626
DADNK;0.0005033912862334786
DAGGALT;0.00013553309720898388
DAGPST;9.088999588988265e-05
DASYN;0.0006767946096460015
DCYTK;0.000519601677342934
DGK1;0.0003262026173225131
DGSNK;0.0004937190167305193
ENO;1.9754279083583794
FAKr;0.00189339281328466
FBA;1.8547504610762218
FMNAT;0.00010825527250015041
FTHFCL;0.0001532713862284356
GALU;0.0012140022601786577
GAPD;10.0
GK1;0.36216015938680624
GLYK;0.0013199976326746874
GUAPRT;0.22477810019535688
LDH_L;0.0007466406354458357
NADHK;0.0002783061632440497
NADS;0.0005978547157681468
NCTPPRT;0.000459741926379823
NNATr;0.0005351920566150253
NOX;7.454615059185077
PAPA;0.00018765430156338235
PDH_E1;9.882781515995699
PDH_E2;10.0
PDH_E3;9.976575799162335
PFK;4.201426392762882
PGI;1.5497996716961655
PGK;9.9044582141013
PGK2;0.00012174539621730572
PGK4;-2.498143243868931
PGM;1.9755164039336006
PGMT;0.0005123895565289182
PGPP;0.00032852694259388456
PGSA;0.0005700326840336053
PPA;0.5993271957556343
PPM;0.17539027152085013
PRPPS;1.092649392550596
PSSYN;0.0005952067567356474
PTAr;0.14688566918682514
PUNP1;0.12694601647303216
PUNP3;0.15920635285305262
PYK2;0.4115819516417196
PYK3;0.25387415266242436
PYK4;0.0
PYK6;2.148821345368411
PYK7;0.00010513019105256539
PYK8;0.0001046079378240633
RBFK;0.00027065045599350846
RPE;0.11043631515636418
RPI;0.11034781958114294
TALA;0.11049295208643595
TKT1;0.11035284735407501
TKT2;0.10341078272740077
TMDK1;0.0005092187817585482
TMPK;0.00033492421836571934
TPI;0.9272867349628896
TRDR;8.849557522123894e-05
UDPG4E;0.0008381955653106207
UDPGALM;0.0007496999900893817
UMPK;0.5981384165069373
UPPRT;0.36041673641063177
AATRS;4.077303959339105
ACP_transl;3.635270997033444
PdhC_transl;0.06644061462411499
tRNAP;1.1238688858242616
Ribosome;0.49003091310631886
